idNumber;name;brand;picture;taste;color;idealTemperature;origin;scores;price
W0094;Wine 94;Brand 94;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0094;68
W0095;Wine 95;Brand 95;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0095;75
W0096;Wine 96;Brand 96;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0096;29
W0097;Wine 97;Brand 97;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0097;100
W0098;Wine 98;Brand 98;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0098;46
W0099;Wine 99;Brand 99;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0099;5
W0100;Wine 100;Brand 100;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0100;12
W0101;Wine 101;Brand 101;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0101;18
W0102;Wine 102;Brand 102;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0102;7
W0103;Wine 103;Brand 103;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0103;34
W0104;Wine 104;Brand 104;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0104;43
W0105;Wine 105;Brand 105;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0105;57
W0106;Wine 106;Brand 106;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0106;74
W0107;Wine 107;Brand 107;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0107;2
W0108;Wine 108;Brand 108;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0108;20
W0109;Wine 109;Brand 109;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0109;1
W0110;Wine 110;Brand 110;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0100;26
W0111;Wine 111;Brand 111;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0100;97
W0112;Wine 112;Brand 112;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0100;49
W0113;Wine 113;Brand 113;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0100;6
W0114;Wine 114;Brand 114;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0100;54
W0115;Wine 115;Brand 115;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0100;56
W0116;Wine 116;Brand 116;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0100;57
W0117;Wine 117;Brand 117;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0100;92
W0118;Wine 118;Brand 118;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0100;85
W0119;Wine 119;Brand 119;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0100;84
